
A T O M   T Y P E S

IDX	TYPE	RING
 8670    353.86546    353.86561
 8680    353.86305    353.86346
 8690    353.85987    353.85990
 8700    353.85957    353.85960
 8710    353.85928    353.85931
 8720    353.85896    353.85900
 8730    353.85861    353.85864
 8740    353.85816    353.85821
 8750    353.85752    353.85760
 8760    353.85646    353.85660
 8770    353.85383    353.85431
 8780    353.85178    353.85181
 8790    353.85150    353.85153
 8800    353.85124    353.85126
 8810    353.85095    353.85098
 8820    353.85064    353.85067
 8830    353.85025    353.85029
 8840    353.84970    353.84977
 8850    353.84880    353.84893
 8860    353.84666    353.84704
 8870    353.84381    353.84385
 8880    353.84352    353.84355
 8890    353.84326    353.84329
 8900    353.84302    353.84304
 8910    353.84277    353.84279
 8920    353.84249    353.84252
 8930    353.84215    353.84219
 8940    353.84168    353.84174
 8950    353.84091    353.84101
 8960    353.83909    353.83941
 8970    353.83631    353.83634
 8980    353.83599    353.83603
 8990    353.83553    353.83559
 9000    353.83473    353.83484
 9010    353.83409    353.83411
 9020    353.83382    353.83385
 9030    353.83348    353.83352
 9040    353.83296    353.83302
 9050    353.83194    353.83209
 9060    353.83012    353.83014
 9070    353.82990    353.82992
 9080    353.82964    353.82967
 9090    353.82931    353.82935
 9100    353.82878    353.82885
 9110    353.82766    353.82785
 9120    353.82452    353.82456
 9130    353.82433    353.82435
 9140    353.82414    353.82416
 9150    353.82392    353.82394
 9160    353.82364    353.82367
 9170    353.82321    353.82327
 9180    353.82238    353.82251
 9190    353.81966    353.81972
 9200    353.81945    353.81947
 9210    353.81924    353.81926
 9220    353.81896    353.81899
 9230    353.81852    353.81858
 9240    353.81753    353.81770
 9250    353.81395    353.81401
 9260    353.81378    353.81380
 9270    353.81362    353.81364
 9280    353.81341    353.81344
 9290    353.81312    353.81316
 9300    353.81260    353.81268
 9310    353.81090    353.81128
 9320    353.80894    353.80896
 9330    353.80864    353.80868
 9340    353.80829    353.80831
 9350    353.80807    353.80810
 9360    353.80772    353.80777
 9370    353.80735    353.80737
 9380    353.80716    353.80718
 9390    353.80686    353.80690
 9400    353.80626    353.80632
 9410    353.80606    353.80607
 9420    353.80586    353.80588
 9430    353.80554    353.80559
